City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
306,charters towers,-20.1,146.2667,25.95,41,3,6.14,AU,1724638981
307,sabang,5.8933,95.3214,25.95,83,100,7.85,ID,1724638982
308,kawalu,-7.3817,108.2082,22.5,89,100,0.58,ID,1724638983
309,susuman,62.7833,148.1667,19.71,40,100,4.0,RU,1724638984
310,st. john's,47.5649,-52.7093,20.99,74,0,6.69,CA,1724638787
311,ankang,32.68,109.0172,28.54,80,100,0.76,CN,1724638986
312,burang,30.25,81.1667,8.45,77,100,1.4,CN,1724638987
313,choma,-16.8065,26.9531,13.34,52,0,1.82,ZM,1724638988
314,ancud,-41.8697,-73.8203,8.91,92,100,3.76,CL,1724638990
315,usogorsk,63.4106,48.6872,11.25,82,3,1.93,RU,1724638991
316,nemuro,43.3236,145.575,16.58,99,100,3.05,JP,1724638992
317,codrington,-38.2667,141.9667,15.42,68,97,7.95,AU,1724638993
318,semnan,35.5729,53.3971,26.17,20,0,1.61,IR,1724638994
319,as sulayyil,20.4607,45.5779,32.9,34,87,4.81,SA,1724638995
320,alice springs,-23.7,133.8833,23.75,29,0,8.75,AU,1724638996
321,dapa,9.7594,126.0531,28.48,74,100,4.22,PH,1724638998
322,ebon,4.582,168.6964,28.48,70,89,1.35,MH,1724638999
323,musoma,-1.5,33.8,22.22,60,73,3.62,TZ,1724639000
324,salahonda,2.1019,-78.7217,25.44,81,82,2.1,CO,1724639001
325,burabay,53.0838,70.3138,11.45,96,94,2.75,KZ,1724639002
326,hounde,11.5,-3.5167,22.84,91,61,1.7,BF,1724639003
327,ambodifotatra,-16.9833,49.85,22.54,69,82,8.87,MG,1724639004
328,krasavino,60.9614,46.4814,12.13,94,1,1.47,RU,1724639007
329,kampene,-3.6,26.6667,20.34,49,99,1.2,CD,1724639008
330,hawkesbury,45.6001,-74.616,18.05,89,0,0.81,CA,1724639009
331,kuta,-8.7233,115.1723,27.97,78,20,5.14,ID,1724638741
332,kaoma,-14.7833,24.8,12.67,54,3,2.64,ZM,1724639011
333,nova sintra,14.8667,-24.7167,26.71,74,65,3.85,CV,1724639012
334,ola,59.5833,151.2833,14.35,80,37,3.99,RU,1724639013
335,al muwayh,22.4333,41.7583,26.16,61,41,8.82,SA,1724639015
336,ampanihy,-24.7,44.75,15.87,58,0,2.95,MG,1724639016
337,atherton,53.5237,-2.4935,15.16,86,100,0.89,GB,1724639017
338,volodarskiy,46.4013,48.5409,19.57,47,100,3.09,RU,1724639020
339,kralendijk,12.15,-68.2667,28.99,79,100,5.66,BQ,1724639021
340,kudahuvadhoo,2.6708,72.8944,27.9,73,96,1.8,MV,1724639023
341,guasdualito,7.2424,-70.7324,24.98,100,20,1.03,VE,1724639024
342,cannonvale,-20.2833,148.7,22.66,70,100,4.99,AU,1724639025
343,san luis del palmar,-27.5079,-58.5545,8.89,70,0,2.15,AR,1724639026
344,birao,10.2849,22.7882,21.42,98,87,1.74,CF,1724639027
345,elko,41.0002,-115.5012,15.91,48,36,5.36,US,1724639028
346,la libertad,-2.2333,-80.9,20.4,85,17,5.81,EC,1724639029
347,zakamensk,50.3741,103.2863,19.86,68,100,0.2,RU,1724639030
348,akureyri,65.6835,-18.0878,6.96,81,100,2.57,IS,1724639032
349,praia,14.9215,-23.5087,26.3,73,75,4.12,CV,1724639033
350,amungan,15.3652,119.9582,29.57,72,89,3.89,PH,1724639034
351,daqing,46.5833,125.0,21.92,60,7,4.88,CN,1724639035
352,johnstown,40.3267,-78.922,20.8,97,11,0.51,US,1724638764
353,cidreira,-30.1811,-50.2056,10.39,71,80,7.96,BR,1724639037
354,general toshevo,43.7,28.0333,21.18,91,22,0.89,BG,1724639038
355,lloydminster,53.2835,-110.0016,16.12,63,20,2.57,CA,1724639039
356,tongliao,43.6125,122.2653,25.42,45,87,3.98,CN,1724639041
357,porto san giorgio,43.1827,13.7934,23.97,58,93,2.78,IT,1724639042
358,slave lake,55.2834,-114.769,15.99,82,0,1.03,CA,1724639044
359,roma,43.2128,-75.4557,19.26,93,0,0.45,US,1724639045
360,lata,40.1629,-8.3327,12.45,80,3,1.22,PT,1724639046
361,tokoroa,-38.2333,175.8667,12.46,78,100,1.98,NZ,1724639047
